Numéro billet;Inscrit;Prénom participant;Nom participant;Paiement;Montant dû;Moyen de paiement;Prestations;Acheté par;Prénom;Nom;Identifiant;Email de l'acheteur;Date de paiement;Date de création;Activités + Afterwork - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Afterwork Uniquement - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités uniquement (à partir de 9h30 jusqu'à 18h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;JOURNEE ET SOIREE - Afterwork uniquement (18h - 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;NUIT - Continuer la fête et dormir sur l'île (23h - 8h);NUIT - Continuer la fête et dormir sur l'île (23h - 8h) [Supprimé];Société;Fonction;Choix d'atelier n°1 (les ateliers** doublent vos jetons !);Lunch pack;Choix du moyen de transport à l'aller;Choix du moyen de transport au retour;J'accepte qu'on utilise mes informations, et qu'on me photographie, à des fins de communication.;Choix d'atelier n°2 (les ateliers** doublent vos jetons !);Choix d'atelier n°3 (les ateliers** doublent vos jetons !);Choix d'atelier n°5 (les ateliers** doublent vos jetons !);Ville Société;Je m'inscris à la newsletter de Cannes Is Up et accepte d'être contacté par email;Choix d'atelier n°4 (les ateliers** doublent vos jetons !);La rencontre avec les décideurs est réservée aux sociétés innovantes. Quelle est votre innovation?;Détail
2817082;Chanzy Laurent;Laurent;Chanzy;Paiement reçu;120;Carte bancaire;Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;;;;;lchanzy@gmail.com;03/07/2019;03/07/2019;;Acheté;;;;;;Scoro developpement;Directeur;Charisme et Leadership**;Sandwich tomates/mozza/salade;Navette CANNES IS UP de 10h;Navette CANNES IS UP de 23h;OUI, J'accepte.;Pétanque par BLUE BEACON;Réseaux Sociaux**;Quiz Cinéma par ADASTRA FILMS;Cannes;OUI, j'accepte;Référencement Google par BRAINYUP**;;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2558950
2815627;OLLAGNIER Maxime;Maxime;OLLAGNIER;Paiement reçu;144;Carte bancaire;"Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION
Continuer la fête et dormir sur l'île (23h - 8h)";Maxime OLLAGNIER;Maxime;OLLAGNIER;3722313;maxime.ollagnier@gmail.com;02/07/2019;02/07/2019;;Acheté;;;;Acheté;;OLLAGNIER S.I.;CEO;Storytelling**;Salades pâtes, thon, tomates, olives et basilic;Navette CANNES IS UP de 10h;Navette CANNES IS UP de 23h;OUI, J'accepte.;Whimsifoil : volez au-dessus de l'eau !;Massages (contre 1 jeton !);Ping-Pong;Sophia Antipolis;OUI, j'accepte;Kayak;;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2557388
2801576;DECROUY Jean-michel;Jean-michel;DECROUY;Paiement reçu;90;Carte bancaire;Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Jean-michel DECROUY;Jean-michel;DECROUY;3696499;jmd@creactive06.org;27/06/2019;27/06/2019;;Acheté;;;;;;Créactive 06;administrateur;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;Sandwich jambon beurre gruyère;Navette CANNES IS UP de 10h;Navette CANNES IS UP de 23h;OUI, J'accepte.;Kayak;Météo par SELERYS;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Cannes;OUI, j'accepte;Ping-Pong;;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2543339
2797447;COLLIN DE L HORTET Jeremie;Jeremie;COLLIN DE L HORTET;Paiement reçu;108;Carte bancaire;"Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION
Continuer la fête et dormir sur l'île (23h - 8h)";Jeremie COLLIN DE L HORTET;Jeremie;COLLIN DE L HORTET;3381712;jeremie.collindelhortet@gmail.com;25/06/2019;25/06/2019;;Acheté;;;;Acheté;;CopWork;Dirigeant;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Salades pâtes, thon, tomates, olives et basilic;Navette CANNES IS UP de 10h;Par ses propres moyens;OUI, J'accepte.;Droit de l’innovation par EY VENTURY AVOCATS**;Whimsifoil : volez au-dessus de l'eau !;Kayak;Paris;OUI, j'accepte;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2539233
2778769;PONÇON Emmanuel;Emmanuel;PONÇON;Paiement reçu;90;Carte bancaire;Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Emmanuel PONÇON;Emmanuel;PONÇON;3381717;ep@gps-gestion.fr;18/06/2019;18/06/2019;;Acheté;;;;;;GPS Gestion Performance Service;Fondateur, CEO, Responsable du projet;Yoga par ETOILES DES SABLES;Salades pâtes, thon, tomates, olives et basilic;Navette CANNES IS UP de 10h;Navette CANNES IS UP de 23h;OUI, J'accepte.;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Paddle;Storytelling**;LE CANNET;OUI, j'accepte;Tir à l'arc;;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2520422
2767773;Masse Chris;Chris;Masse;Paiement reçu;90;Carte bancaire;Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Chris Masse;Chris;Masse;3517887;chrisfmasse@gmail.com;14/06/2019;14/06/2019;;Acheté;;;;;;Space-Time Master;Prt;Référencement Google par BRAINYUP**;Salades pâtes, thon, tomates, olives et basilic;Par ses propres moyens;Par ses propres moyens;OUI, J'accepte.;Réseaux Sociaux**;Storytelling**;Ping-Pong;Sophia-Antipolis;OUI, j'accepte;Charisme et Leadership**;AI for Creative Intelligence;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2510711
2722299;AUBERT Sébastien;Sébastien;AUBERT;Paiement reçu;0,12;Carte bancaire;"Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION
Continuer la fête et dormir sur l'île (23h - 8h)";;;;;s.aubert@adastra-films.com;27/05/2019;27/05/2019;;Acheté;;;;Acheté;;;;Charisme et Leadership**;Salades pâtes, thon, tomates, olives et basilic;Navette CANNES IS UP de 10h;Navette publique (toute la journée);OUI, J'accepte.; ;Charisme et Leadership**;Charisme et Leadership;;;Charisme et Leadership**;;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2470084
2722300;Jacob Leslie;Leslie;Jacob;Paiement reçu;0,04;Carte bancaire;Afterwork uniquement (18h - 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;;;;;s.aubert@adastra-films.com;27/05/2019;27/05/2019;;;;;Acheté;;;;;Ping-Pong**;Sandwich jambon beurre gruyère;Navette publique (toute la journée);Par ses propres moyens;OUI, J'accepte.;Charisme et Leadership**; ;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;; ;;https://cannes-is-up-5bfd076b25298.assoconnect.com/billetterie/participants/detail/2470084
;Wilkinson Wilkinson;Wilkinson;Wilkinson;;;;;;;;;wilkinsonwilkinson@limage.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;; ;Référencement Google par BRAINY UP**;Branding: comment valoriser votre marque par COULEUR VELVET**;;; ;;
;Lindsey Blair;Lindsey;Blair;;;;;;;;;lindseyblair@elita.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Charisme et Leadership**; ;Quiz Cinéma par ADASTRA FILMS;;; ;;
